id,date,warehouse_id,region,quantity_stored_tons,capacity_tons,utilization_percent
51,2023-01-16,WH-RUK-001,Rukwa,1123.97,1839,61.1
52,2023-01-16,WH-RUK-002,Rukwa,2553.93,4309,59.3
53,2023-01-16,WH-MOR-001,Morogoro,1080.78,2435,44.4
54,2023-01-16,WH-MOR-002,Morogoro,190.41,586,32.5
55,2023-01-16,WH-DOD-001,Dodoma,776.4,2161,35.9
56,2023-01-16,WH-DOD-002,Dodoma,341.28,630,54.2
57,2023-01-16,WH-ARU-001,Arusha,437.57,955,45.8
58,2023-01-16,WH-ARU-002,Arusha,1878.94,4213,44.6
59,2023-01-16,WH-KIL-001,Kilimanjaro,1277.57,3053,41.8
60,2023-01-16,WH-KIL-002,Kilimanjaro,2097.33,4199,49.9
61,2023-01-16,WH-DAR-001,Dar es Salaam,1671.36,2543,65.7
62,2023-01-16,WH-DAR-002,Dar es Salaam,1291.41,3161,40.9
63,2023-01-16,WH-MWA-001,Mwanza,563.17,930,60.6
64,2023-01-16,WH-MWA-002,Mwanza,1078.54,2827,38.2
65,2023-01-16,WH-SHI-001,Shinyanga,875.69,2536,34.5
66,2023-01-16,WH-SHI-002,Shinyanga,2479.12,4536,54.7
67,2023-01-23,WH-MBE-001,Mbeya,2551.92,3903,65.4
68,2023-01-23,WH-MBE-002,Mbeya,2739.39,4442,61.7
69,2023-01-23,WH-IRI-001,Iringa,817.3,1175,69.6
70,2023-01-23,WH-IRI-002,Iringa,1637.96,2541,64.5
71,2023-01-23,WH-RUV-001,Ruvuma,398.05,662,60.1
72,2023-01-23,WH-RUV-002,Ruvuma,883.94,1861,47.5
73,2023-01-23,WH-RUK-001,Rukwa,1115.23,1839,60.6
74,2023-01-23,WH-RUK-002,Rukwa,2510.89,4309,58.3
75,2023-01-23,WH-MOR-001,Morogoro,1085.99,2435,44.6
76,2023-01-23,WH-MOR-002,Morogoro,189.43,586,32.3
77,2023-01-23,WH-DOD-001,Dodoma,772.43,2161,35.7
78,2023-01-23,WH-DOD-002,Dodoma,335.65,630,53.3
79,2023-01-23,WH-ARU-001,Arusha,434.43,955,45.5
80,2023-01-23,WH-ARU-002,Arusha,1879.74,4213,44.6
81,2023-01-23,WH-KIL-001,Kilimanjaro,1293.55,3053,42.4
82,2023-01-23,WH-KIL-002,Kilimanjaro,2134.36,4199,50.8
83,2023-01-23,WH-DAR-001,Dar es Salaam,1689.45,2543,66.4
84,2023-01-23,WH-DAR-002,Dar es Salaam,1269.47,3161,40.2
85,2023-01-23,WH-MWA-001,Mwanza,553.96,930,59.6
86,2023-01-23,WH-MWA-002,Mwanza,1067.73,2827,37.8
87,2023-01-23,WH-SHI-001,Shinyanga,892.41,2536,35.2
88,2023-01-23,WH-SHI-002,Shinyanga,2526.09,4536,55.7
89,2023-01-30,WH-MBE-001,Mbeya,2536.12,3903,65.0
90,2023-01-30,WH-MBE-002,Mbeya,2686.94,4442,60.5
91,2023-01-30,WH-IRI-001,Iringa,824.34,1175,70.2
92,2023-01-30,WH-IRI-002,Iringa,1619.83,2541,63.7
93,2023-01-30,WH-RUV-001,Ruvuma,401.05,662,60.6
94,2023-01-30,WH-RUV-002,Ruvuma,887.87,1861,47.7
95,2023-01-30,WH-RUK-001,Rukwa,1104.25,1839,60.0
96,2023-01-30,WH-RUK-002,Rukwa,2537.22,4309,58.9
97,2023-01-30,WH-MOR-001,Morogoro,1067.24,2435,43.8
98,2023-01-30,WH-MOR-002,Morogoro,191.04,586,32.6
99,2023-01-30,WH-DOD-001,Dodoma,771.52,2161,35.7
100,2023-01-30,WH-DOD-002,Dodoma,333.41,630,52.9
101,2023-01-30,WH-ARU-001,Arusha,434.39,955,45.5
102,2023-01-30,WH-ARU-002,Arusha,1899.03,4213,45.1
103,2023-01-30,WH-KIL-001,Kilimanjaro,1286.2,3053,42.1
104,2023-01-30,WH-KIL-002,Kilimanjaro,2172.73,4199,51.7
105,2023-01-30,WH-DAR-001,Dar es Salaam,1716.09,2543,67.5
106,2023-01-30,WH-DAR-002,Dar es Salaam,1264.01,3161,40.0
107,2023-01-30,WH-MWA-001,Mwanza,560.55,930,60.3
108,2023-01-30,WH-MWA-002,Mwanza,1053.79,2827,37.3
109,2023-01-30,WH-SHI-001,Shinyanga,892.94,2536,35.2
110,2023-01-30,WH-SHI-002,Shinyanga,2541.21,4536,56.0
111,2023-02-06,WH-MBE-001,Mbeya,2584.88,3903,66.2
112,2023-02-06,WH-MBE-002,Mbeya,2677.22,4442,60.3
113,2023-02-06,WH-IRI-001,Iringa,808.43,1175,68.8
114,2023-02-06,WH-IRI-002,Iringa,1638.22,2541,64.5
115,2023-02-06,WH-RUV-001,Ruvuma,394.96,662,59.7
116,2023-02-06,WH-RUV-002,Ruvuma,884.69,1861,47.5
117,2023-02-06,WH-RUK-001,Rukwa,1119.51,1839,60.9
118,2023-02-06,WH-RUK-002,Rukwa,2494.03,4309,57.9
119,2023-02-06,WH-MOR-001,Morogoro,1074.48,2435,44.1
120,2023-02-06,WH-MOR-002,Morogoro,191.32,586,32.6
121,2023-02-06,WH-DOD-001,Dodoma,767.34,2161,35.5
122,2023-02-06,WH-DOD-002,Dodoma,339.39,630,53.9
123,2023-02-06,WH-ARU-001,Arusha,433.21,955,45.4
124,2023-02-06,WH-ARU-002,Arusha,1885.04,4213,44.7
125,2023-02-06,WH-KIL-001,Kilimanjaro,1260.95,3053,41.3
126,2023-02-06,WH-KIL-002,Kilimanjaro,2196.98,4199,52.3
127,2023-02-06,WH-DAR-001,Dar es Salaam,1713.22,2543,67.4
128,2023-02-06,WH-DAR-002,Dar es Salaam,1286.23,3161,40.7
129,2023-02-06,WH-MWA-001,Mwanza,556.35,930,59.8
130,2023-02-06,WH-MWA-002,Mwanza,1044.9,2827,37.0
131,2023-02-06,WH-SHI-001,Shinyanga,877.04,2536,34.6
132,2023-02-06,WH-SHI-002,Shinyanga,2552.09,4536,56.3
133,2023-02-13,WH-MBE-001,Mbeya,2601.38,3903,66.7
134,2023-02-13,WH-MBE-002,Mbeya,2677.33,4442,60.3
135,2023-02-13,WH-IRI-001,Iringa,803.85,1175,68.4
136,2023-02-13,WH-IRI-002,Iringa,1648.18,2541,64.9
137,2023-02-13,WH-RUV-001,Ruvuma,396.47,662,59.9
138,2023-02-13,WH-RUV-002,Ruvuma,883.3,1861,47.5
139,2023-02-13,WH-RUK-001,Rukwa,1100.58,1839,59.8
140,2023-02-13,WH-RUK-002,Rukwa,2463.09,4309,57.2
141,2023-02-13,WH-MOR-001,Morogoro,1062.27,2435,43.6
142,2023-02-13,WH-MOR-002,Morogoro,194.87,586,33.3
143,2023-02-13,WH-DOD-001,Dodoma,752.73,2161,34.8
144,2023-02-13,WH-DOD-002,Dodoma,345.27,630,54.8
145,2023-02-13,WH-ARU-001,Arusha,425.28,955,44.5
146,2023-02-13,WH-ARU-002,Arusha,1905.06,4213,45.2
147,2023-02-13,WH-KIL-001,Kilimanjaro,1237.65,3053,40.5
148,2023-02-13,WH-KIL-002,Kilimanjaro,2156.92,4199,51.4
149,2023-02-13,WH-DAR-001,Dar es Salaam,1741.76,2543,68.5
150,2023-02-13,WH-DAR-002,Dar es Salaam,1299.88,3161,41.1
151,2023-02-13,WH-MWA-001,Mwanza,554.52,930,59.6
152,2023-02-13,WH-MWA-002,Mwanza,1028.02,2827,36.4
153,2023-02-13,WH-SHI-001,Shinyanga,861.26,2536,34.0
154,2023-02-13,WH-SHI-002,Shinyanga,2523.16,4536,55.6
155,2023-02-20,WH-MBE-001,Mbeya,2564.83,3903,65.7
156,2023-02-20,WH-MBE-002,Mbeya,2712.78,4442,61.1
157,2023-02-20,WH-IRI-001,Iringa,804.64,1175,68.5
158,2023-02-20,WH-IRI-002,Iringa,1651.96,2541,65.0
159,2023-02-20,WH-RUV-001,Ruvuma,397.07,662,60.0
160,2023-02-20,WH-RUV-002,Ruvuma,872.95,1861,46.9
161,2023-02-20,WH-RUK-001,Rukwa,1090.94,1839,59.3
162,2023-02-20,WH-RUK-002,Rukwa,2509.77,4309,58.2
163,2023-02-20,WH-MOR-001,Morogoro,1057.63,2435,43.4
164,2023-02-20,WH-MOR-002,Morogoro,191.87,586,32.7
165,2023-02-20,WH-DOD-001,Dodoma,765.93,2161,35.4
166,2023-02-20,WH-DOD-002,Dodoma,346.03,630,54.9
167,2023-02-20,WH-ARU-001,Arusha,418.71,955,43.8
168,2023-02-20,WH-ARU-002,Arusha,1940.64,4213,46.1
169,2023-02-20,WH-KIL-001,Kilimanjaro,1236.32,3053,40.5
170,2023-02-20,WH-KIL-002,Kilimanjaro,2160.0,4199,51.4
171,2023-02-20,WH-DAR-001,Dar es Salaam,1731.47,2543,68.1
172,2023-02-20,WH-DAR-002,Dar es Salaam,1301.31,3161,41.2
173,2023-02-20,WH-MWA-001,Mwanza,558.62,930,60.1
174,2023-02-20,WH-MWA-002,Mwanza,1045.81,2827,37.0
175,2023-02-20,WH-SHI-001,Shinyanga,876.1,2536,34.5
176,2023-02-20,WH-SHI-002,Shinyanga,2477.31,4536,54.6
177,2023-02-27,WH-MBE-001,Mbeya,2549.5,3903,65.3
178,2023-02-27,WH-MBE-002,Mbeya,2662.35,4442,59.9
179,2023-02-27,WH-IRI-001,Iringa,807.58,1175,68.7
180,2023-02-27,WH-IRI-002,Iringa,1641.0,2541,64.6
181,2023-02-27,WH-RUV-001,Ruvuma,395.49,662,59.7
182,2023-02-27,WH-RUV-002,Ruvuma,874.94,1861,47.0
183,2023-02-27,WH-RUK-001,Rukwa,1102.23,1839,59.9
184,2023-02-27,WH-RUK-002,Rukwa,2497.74,4309,58.0
185,2023-02-27,WH-MOR-001,Morogoro,1043.92,2435,42.9
186,2023-02-27,WH-MOR-002,Morogoro,188.3,586,32.1
187,2023-02-27,WH-DOD-001,Dodoma,765.29,2161,35.4
188,2023-02-27,WH-DOD-002,Dodoma,341.27,630,54.2
189,2023-02-27,WH-ARU-001,Arusha,418.51,955,43.8
190,2023-02-27,WH-ARU-002,Arusha,1965.8,4213,46.7
191,2023-02-27,WH-KIL-001,Kilimanjaro,1247.39,3053,40.9
192,2023-02-27,WH-KIL-002,Kilimanjaro,2201.77,4199,52.4
193,2023-02-27,WH-DAR-001,Dar es Salaam,1704.61,2543,67.0
194,2023-02-27,WH-DAR-002,Dar es Salaam,1310.09,3161,41.4
195,2023-02-27,WH-MWA-001,Mwanza,566.77,930,60.9
196,2023-02-27,WH-MWA-002,Mwanza,1043.61,2827,36.9
197,2023-02-27,WH-SHI-001,Shinyanga,880.74,2536,34.7
198,2023-02-27,WH-SHI-002,Shinyanga,2473.16,4536,54.5
199,2023-03-06,WH-MBE-001,Mbeya,2766.64,3903,70.9
200,2023-03-06,WH-MBE-002,Mbeya,2870.73,4442,64.6
201,2023-03-06,WH-IRI-001,Iringa,885.6,1175,75.4
202,2023-03-06,WH-IRI-002,Iringa,1759.69,2541,69.3
203,2023-03-06,WH-RUV-001,Ruvuma,443.92,662,67.1
204,2023-03-06,WH-RUV-002,Ruvuma,987.02,1861,53.0
205,2023-03-06,WH-RUK-001,Rukwa,1263.09,1839,68.7
206,2023-03-06,WH-RUK-002,Rukwa,2678.06,4309,62.2
207,2023-03-06,WH-MOR-001,Morogoro,1176.36,2435,48.3
208,2023-03-06,WH-MOR-002,Morogoro,209.08,586,35.7
209,2023-03-06,WH-DOD-001,Dodoma,876.43,2161,40.6
210,2023-03-06,WH-DOD-002,Dodoma,376.09,630,59.7
211,2023-03-06,WH-ARU-001,Arusha,464.48,955,48.6
212,2023-03-06,WH-ARU-002,Arusha,2187.7,4213,51.9
213,2023-03-06,WH-KIL-001,Kilimanjaro,1380.83,3053,45.2
214,2023-03-06,WH-KIL-002,Kilimanjaro,2334.59,4199,55.6
215,2023-03-06,WH-DAR-001,Dar es Salaam,1833.37,2543,72.1
216,2023-03-06,WH-DAR-002,Dar es Salaam,1503.58,3161,47.6
217,2023-03-06,WH-MWA-001,Mwanza,629.55,930,67.7
218,2023-03-06,WH-MWA-002,Mwanza,1117.12,2827,39.5
219,2023-03-06,WH-SHI-001,Shinyanga,965.42,2536,38.1
220,2023-03-06,WH-SHI-002,Shinyanga,2616.46,4536,57.7
221,2023-03-13,WH-MBE-001,Mbeya,3012.19,3903,77.2
222,2023-03-13,WH-MBE-002,Mbeya,3089.89,4442,69.6
223,2023-03-13,WH-IRI-001,Iringa,933.0,1175,79.4
224,2023-03-13,WH-IRI-002,Iringa,1924.18,2541,75.7
225,2023-03-13,WH-RUV-001,Ruvuma,489.5,662,73.9
226,2023-03-13,WH-RUV-002,Ruvuma,1107.75,1861,59.5
227,2023-03-13,WH-RUK-001,Rukwa,1383.01,1839,75.2
228,2023-03-13,WH-RUK-002,Rukwa,2830.28,4309,65.7
229,2023-03-13,WH-MOR-001,Morogoro,1301.19,2435,53.4
230,2023-03-13,WH-MOR-002,Morogoro,235.48,586,40.2
231,2023-03-13,WH-DOD-001,Dodoma,998.54,2161,46.2
232,2023-03-13,WH-DOD-002,Dodoma,398.05,630,63.2
233,2023-03-13,WH-ARU-001,Arusha,501.84,955,52.5
234,2023-03-13,WH-ARU-002,Arusha,2391.4,4213,56.8
235,2023-03-13,WH-KIL-001,Kilimanjaro,1498.35,3053,49.1
236,2023-03-13,WH-KIL-002,Kilimanjaro,2593.18,4199,61.8
237,2023-03-13,WH-DAR-001,Dar es Salaam,1992.03,2543,78.3
238,2023-03-13,WH-DAR-002,Dar es Salaam,1639.23,3161,51.9
239,2023-03-13,WH-MWA-001,Mwanza,723.78,930,77.8
240,2023-03-13,WH-MWA-002,Mwanza,1200.79,2827,42.5
241,2023-03-13,WH-SHI-001,Shinyanga,1086.14,2536,42.8
242,2023-03-13,WH-SHI-002,Shinyanga,2879.1,4536,63.5
243,2023-03-20,WH-MBE-001,Mbeya,3438.75,3903,88.1
244,2023-03-20,WH-MBE-002,Mbeya,3447.03,4442,77.6
245,2023-03-20,WH-IRI-001,Iringa,999.2,1175,85.0
246,2023-03-20,WH-IRI-002,Iringa,2199.72,2541,86.6
247,2023-03-20,WH-RUV-001,Ruvuma,514.77,662,77.8
248,2023-03-20,WH-RUV-002,Ruvuma,1166.73,1861,62.7
249,2023-03-20,WH-RUK-001,Rukwa,1500.5,1839,81.6
250,2023-03-20,WH-RUK-002,Rukwa,3208.09,4309,74.5
251,2023-03-20,WH-MOR-001,Morogoro,1411.29,2435,58.0
252,2023-03-20,WH-MOR-002,Morogoro,255.06,586,43.5
253,2023-03-20,WH-DOD-001,Dodoma,1127.45,2161,52.2
254,2023-03-20,WH-DOD-002,Dodoma,427.52,630,67.9
255,2023-03-20,WH-ARU-001,Arusha,550.51,955,57.6
256,2023-03-20,WH-ARU-002,Arusha,2624.99,4213,62.3
257,2023-03-20,WH-KIL-001,Kilimanjaro,1692.33,3053,55.4
258,2023-03-20,WH-KIL-002,Kilimanjaro,2727.62,4199,65.0
259,2023-03-20,WH-DAR-001,Dar es Salaam,2131.49,2543,83.8
260,2023-03-20,WH-DAR-002,Dar es Salaam,1783.24,3161,56.4
261,2023-03-20,WH-MWA-001,Mwanza,809.73,930,87.1
262,2023-03-20,WH-MWA-002,Mwanza,1318.59,2827,46.6
263,2023-03-20,WH-SHI-001,Shinyanga,1204.74,2536,47.5
264,2023-03-20,WH-SHI-002,Shinyanga,3069.38,4536,67.7
265,2023-03-27,WH-MBE-001,Mbeya,3753.63,3903,96.2
266,2023-03-27,WH-MBE-002,Mbeya,3747.33,4442,84.4
267,2023-03-27,WH-IRI-001,Iringa,1103.87,1175,93.9
268,2023-03-27,WH-IRI-002,Iringa,2457.81,2541,96.7
269,2023-03-27,WH-RUV-001,Ruvuma,541.16,662,81.7
270,2023-03-27,WH-RUV-002,Ruvuma,1237.14,1861,66.5
271,2023-03-27,WH-RUK-001,Rukwa,1614.93,1839,87.8
272,2023-03-27,WH-RUK-002,Rukwa,3386.97,4309,78.6
273,2023-03-27,WH-MOR-001,Morogoro,1616.48,2435,66.4
274,2023-03-27,WH-MOR-002,Morogoro,292.17,586,49.9
275,2023-03-27,WH-DOD-001,Dodoma,1216.53,2161,56.3
276,2023-03-27,WH-DOD-002,Dodoma,462.63,630,73.4
277,2023-03-27,WH-ARU-001,Arusha,614.27,955,64.3
278,2023-03-27,WH-ARU-002,Arusha,3017.9,4213,71.6
279,2023-03-27,WH-KIL-001,Kilimanjaro,1827.0,3053,59.8
280,2023-03-27,WH-KIL-002,Kilimanjaro,3134.73,4199,74.7
281,2023-03-27,WH-DAR-001,Dar es Salaam,2346.19,2543,92.3
282,2023-03-27,WH-DAR-002,Dar es Salaam,2005.15,3161,63.4
283,2023-03-27,WH-MWA-001,Mwanza,853.17,930,91.7
284,2023-03-27,WH-MWA-002,Mwanza,1458.83,2827,51.6
285,2023-03-27,WH-SHI-001,Shinyanga,1375.62,2536,54.2
286,2023-03-27,WH-SHI-002,Shinyanga,3481.57,4536,76.8
287,2023-04-03,WH-MBE-001,Mbeya,3534.41,3903,90.6
288,2023-04-03,WH-MBE-002,Mbeya,3541.98,4442,79.7
289,2023-04-03,WH-IRI-001,Iringa,1035.92,1175,88.2
290,2023-04-03,WH-IRI-002,Iringa,2354.96,2541,92.7
291,2023-04-03,WH-RUV-001,Ruvuma,511.12,662,77.2
292,2023-04-03,WH-RUV-002,Ruvuma,1191.67,1861,64.0
293,2023-04-03,WH-RUK-001,Rukwa,1536.0,1839,83.5
294,2023-04-03,WH-RUK-002,Rukwa,3219.02,4309,74.7
295,2023-04-03,WH-MOR-001,Morogoro,1566.92,2435,64.3
296,2023-04-03,WH-MOR-002,Morogoro,271.75,586,46.4
297,2023-04-03,WH-DOD-001,Dodoma,1133.08,2161,52.4
298,2023-04-03,WH-DOD-002,Dodoma,443.0,630,70.3
299,2023-04-03,WH-ARU-001,Arusha,589.09,955,61.7
300,2023-04-03,WH-ARU-002,Arusha,2826.08,4213,67.1
301,2023-04-03,WH-KIL-001,Kilimanjaro,1769.68,3053,58.0
302,2023-04-03,WH-KIL-002,Kilimanjaro,2949.74,4199,70.2
303,2023-04-03,WH-DAR-001,Dar es Salaam,2241.66,2543,88.2
304,2023-04-03,WH-DAR-002,Dar es Salaam,1913.63,3161,60.5
305,2023-04-03,WH-MWA-001,Mwanza,801.34,930,86.2
306,2023-04-03,WH-MWA-002,Mwanza,1369.96,2827,48.5
307,2023-04-03,WH-SHI-001,Shinyanga,1318.8,2536,52.0
308,2023-04-03,WH-SHI-002,Shinyanga,3374.03,4536,74.4
309,2023-04-10,WH-MBE-001,Mbeya,3306.15,3903,84.7
310,2023-04-10,WH-MBE-002,Mbeya,3309.29,4442,74.5
311,2023-04-10,WH-IRI-001,Iringa,999.33,1175,85.0
312,2023-04-10,WH-IRI-002,Iringa,2167.56,2541,85.3
313,2023-04-10,WH-RUV-001,Ruvuma,481.31,662,72.7
314,2023-04-10,WH-RUV-002,Ruvuma,1117.56,1861,60.1
315,2023-04-10,WH-RUK-001,Rukwa,1465.8,1839,79.7
316,2023-04-10,WH-RUK-002,Rukwa,3078.75,4309,71.4
317,2023-04-10,WH-MOR-001,Morogoro,1460.79,2435,60.0
318,2023-04-10,WH-MOR-002,Morogoro,261.52,586,44.6
319,2023-04-10,WH-DOD-001,Dodoma,1064.01,2161,49.2
320,2023-04-10,WH-DOD-002,Dodoma,414.35,630,65.8
321,2023-04-10,WH-ARU-001,Arusha,560.84,955,58.7
322,2023-04-10,WH-ARU-002,Arusha,2667.55,4213,63.3
323,2023-04-10,WH-KIL-001,Kilimanjaro,1645.94,3053,53.9
324,2023-04-10,WH-KIL-002,Kilimanjaro,2838.12,4199,67.6
325,2023-04-10,WH-DAR-001,Dar es Salaam,2136.66,2543,84.0
326,2023-04-10,WH-DAR-002,Dar es Salaam,1812.94,3161,57.4
327,2023-04-10,WH-MWA-001,Mwanza,764.19,930,82.2
328,2023-04-10,WH-MWA-002,Mwanza,1301.17,2827,46.0
329,2023-04-10,WH-SHI-001,Shinyanga,1278.96,2536,50.4
330,2023-04-10,WH-SHI-002,Shinyanga,3251.32,4536,71.7
331,2023-04-17,WH-MBE-001,Mbeya,3200.79,3903,82.0
332,2023-04-17,WH-MBE-002,Mbeya,3172.88,4442,71.4
333,2023-04-17,WH-IRI-001,Iringa,921.69,1175,78.4
334,2023-04-17,WH-IRI-002,Iringa,2098.31,2541,82.6
335,2023-04-17,WH-RUV-001,Ruvuma,457.68,662,69.1
336,2023-04-17,WH-RUV-002,Ruvuma,1057.87,1861,56.8
337,2023-04-17,WH-RUK-001,Rukwa,1359.3,1839,73.9
338,2023-04-17,WH-RUK-002,Rukwa,2836.21,4309,65.8
339,2023-04-17,WH-MOR-001,Morogoro,1409.51,2435,57.9
340,2023-04-17,WH-MOR-002,Morogoro,248.98,586,42.5
341,2023-04-17,WH-DOD-001,Dodoma,997.01,2161,46.1
342,2023-04-17,WH-DOD-002,Dodoma,391.18,630,62.1
343,2023-04-17,WH-ARU-001,Arusha,523.36,955,54.8
344,2023-04-17,WH-ARU-002,Arusha,2477.35,4213,58.8
345,2023-04-17,WH-KIL-001,Kilimanjaro,1588.14,3053,52.0
346,2023-04-17,WH-KIL-002,Kilimanjaro,2679.67,4199,63.8
347,2023-04-17,WH-DAR-001,Dar es Salaam,2005.36,2543,78.9
348,2023-04-17,WH-DAR-002,Dar es Salaam,1688.55,3161,53.4
349,2023-04-17,WH-MWA-001,Mwanza,721.89,930,77.6
350,2023-04-17,WH-MWA-002,Mwanza,1203.05,2827,42.6
351,2023-04-17,WH-SHI-001,Shinyanga,1219.06,2536,48.1
352,2023-04-17,WH-SHI-002,Shinyanga,3086.67,4536,68.0
353,2023-04-24,WH-MBE-001,Mbeya,3035.73,3903,77.8
354,2023-04-24,WH-MBE-002,Mbeya,2965.11,4442,66.8
355,2023-04-24,WH-IRI-001,Iringa,857.12,1175,72.9
356,2023-04-24,WH-IRI-002,Iringa,1946.2,2541,76.6
357,2023-04-24,WH-RUV-001,Ruvuma,438.97,662,66.3
358,2023-04-24,WH-RUV-002,Ruvuma,1019.42,1861,54.8
359,2023-04-24,WH-RUK-001,Rukwa,1282.69,1839,69.7
360,2023-04-24,WH-RUK-002,Rukwa,2709.45,4309,62.9
361,2023-04-24,WH-MOR-001,Morogoro,1347.82,2435,55.4
362,2023-04-24,WH-MOR-002,Morogoro,233.6,586,39.9
363,2023-04-24,WH-DOD-001,Dodoma,965.42,2161,44.7
364,2023-04-24,WH-DOD-002,Dodoma,368.55,630,58.5
365,2023-04-24,WH-ARU-001,Arusha,486.73,955,51.0
366,2023-04-24,WH-ARU-002,Arusha,2351.46,4213,55.8
367,2023-04-24,WH-KIL-001,Kilimanjaro,1514.58,3053,49.6
368,2023-04-24,WH-KIL-002,Kilimanjaro,2535.83,4199,60.4
369,2023-04-24,WH-DAR-001,Dar es Salaam,1883.88,2543,74.1
370,2023-04-24,WH-DAR-002,Dar es Salaam,1567.89,3161,49.6
371,2023-04-24,WH-MWA-001,Mwanza,670.99,930,72.1
372,2023-04-24,WH-MWA-002,Mwanza,1115.5,2827,39.5
373,2023-04-24,WH-SHI-001,Shinyanga,1165.3,2536,46.0
374,2023-04-24,WH-SHI-002,Shinyanga,2947.32,4536,65.0
375,2023-05-01,WH-MBE-001,Mbeya,2942.41,3903,75.4
376,2023-05-01,WH-MBE-002,Mbeya,2852.42,4442,64.2
377,2023-05-01,WH-IRI-001,Iringa,789.54,1175,67.2
378,2023-05-01,WH-IRI-002,Iringa,1820.28,2541,71.6
379,2023-05-01,WH-RUV-001,Ruvuma,422.53,662,63.8
380,2023-05-01,WH-RUV-002,Ruvuma,961.48,1861,51.7
381,2023-05-01,WH-RUK-001,Rukwa,1190.57,1839,64.7
382,2023-05-01,WH-RUK-002,Rukwa,2602.23,4309,60.4
383,2023-05-01,WH-MOR-001,Morogoro,1302.63,2435,53.5
384,2023-05-01,WH-MOR-002,Morogoro,216.45,586,36.9
385,2023-05-01,WH-DOD-001,Dodoma,925.13,2161,42.8
386,2023-05-01,WH-DOD-002,Dodoma,356.08,630,56.5
387,2023-05-01,WH-ARU-001,Arusha,463.2,955,48.5
