id,date,market,region,quality_grade,price_per_kg_tzs
61,2023-01-02,Kariakoo,Dar es Salaam,A,2233.72
62,2023-01-02,Kariakoo,Dar es Salaam,B,1915.46
63,2023-01-02,Kariakoo,Dar es Salaam,C,1602.05
64,2023-01-02,Mwenge,Dar es Salaam,A,2316.24
65,2023-01-02,Mwenge,Dar es Salaam,B,1920.44
66,2023-01-02,Mwenge,Dar es Salaam,C,1636.36
67,2023-01-02,Mwanza Central,Mwanza,A,2305.3
68,2023-01-02,Mwanza Central,Mwanza,B,1879.8
69,2023-01-02,Mwanza Central,Mwanza,C,1631.41
70,2023-01-02,Shinyanga Central,Shinyanga,A,2241.31
71,2023-01-02,Shinyanga Central,Shinyanga,B,1925.75
72,2023-01-02,Shinyanga Central,Shinyanga,C,1636.01
73,2023-01-03,Mbeya Central,Mbeya,A,1958.02
74,2023-01-03,Mbeya Central,Mbeya,B,1670.89
75,2023-01-03,Mbeya Central,Mbeya,C,1400.27
76,2023-01-03,Iringa Central,Iringa,A,1964.57
77,2023-01-03,Iringa Central,Iringa,B,1669.49
78,2023-01-03,Iringa Central,Iringa,C,1387.22
79,2023-01-03,Songea Central,Ruvuma,A,1942.27
80,2023-01-03,Songea Central,Ruvuma,B,1629.75
81,2023-01-03,Songea Central,Ruvuma,C,1392.87
82,2023-01-03,Sumbawanga Central,Rukwa,A,2008.86
83,2023-01-03,Sumbawanga Central,Rukwa,B,1680.81
84,2023-01-03,Sumbawanga Central,Rukwa,C,1390.11
85,2023-01-03,Morogoro Central,Morogoro,A,1991.21
86,2023-01-03,Morogoro Central,Morogoro,B,1643.38
87,2023-01-03,Morogoro Central,Morogoro,C,1429.49
88,2023-01-03,Dodoma Central,Dodoma,A,1982.87
89,2023-01-03,Dodoma Central,Dodoma,B,1678.99
90,2023-01-03,Dodoma Central,Dodoma,C,1380.92
91,2023-01-03,Arusha Central,Arusha,A,2319.84
92,2023-01-03,Arusha Central,Arusha,B,1873.1
93,2023-01-03,Arusha Central,Arusha,C,1642.72
94,2023-01-03,Moshi Central,Kilimanjaro,A,2255.64
95,2023-01-03,Moshi Central,Kilimanjaro,B,1867.78
96,2023-01-03,Moshi Central,Kilimanjaro,C,1608.65
97,2023-01-03,Kariakoo,Dar es Salaam,A,2297.82
98,2023-01-03,Kariakoo,Dar es Salaam,B,1883.36
99,2023-01-03,Kariakoo,Dar es Salaam,C,1619.73
100,2023-01-03,Mwenge,Dar es Salaam,A,2278.04
101,2023-01-03,Mwenge,Dar es Salaam,B,1888.79
102,2023-01-03,Mwenge,Dar es Salaam,C,1617.82
103,2023-01-03,Mwanza Central,Mwanza,A,2254.66
104,2023-01-03,Mwanza Central,Mwanza,B,1913.35
105,2023-01-03,Mwanza Central,Mwanza,C,1580.73
106,2023-01-03,Shinyanga Central,Shinyanga,A,2315.76
107,2023-01-03,Shinyanga Central,Shinyanga,B,1900.42
108,2023-01-03,Shinyanga Central,Shinyanga,C,1627.03
109,2023-01-04,Mbeya Central,Mbeya,A,1999.16
110,2023-01-04,Mbeya Central,Mbeya,B,1661.26
111,2023-01-04,Mbeya Central,Mbeya,C,1394.88
112,2023-01-04,Iringa Central,Iringa,A,1945.94
113,2023-01-04,Iringa Central,Iringa,B,1660.84
114,2023-01-04,Iringa Central,Iringa,C,1392.97
115,2023-01-04,Songea Central,Ruvuma,A,1965.26
116,2023-01-04,Songea Central,Ruvuma,B,1672.97
117,2023-01-04,Songea Central,Ruvuma,C,1414.83
118,2023-01-04,Sumbawanga Central,Rukwa,A,1964.19
119,2023-01-04,Sumbawanga Central,Rukwa,B,1637.41
120,2023-01-04,Sumbawanga Central,Rukwa,C,1397.36
121,2023-01-04,Morogoro Central,Morogoro,A,1972.27
122,2023-01-04,Morogoro Central,Morogoro,B,1636.51
123,2023-01-04,Morogoro Central,Morogoro,C,1381.59
124,2023-01-04,Dodoma Central,Dodoma,A,1973.7
125,2023-01-04,Dodoma Central,Dodoma,B,1679.06
126,2023-01-04,Dodoma Central,Dodoma,C,1412.45
127,2023-01-04,Arusha Central,Arusha,A,2313.69
128,2023-01-04,Arusha Central,Arusha,B,1906.27
129,2023-01-04,Arusha Central,Arusha,C,1600.03
130,2023-01-04,Moshi Central,Kilimanjaro,A,2281.37
131,2023-01-04,Moshi Central,Kilimanjaro,B,1859.58
132,2023-01-04,Moshi Central,Kilimanjaro,C,1599.13
133,2023-01-04,Kariakoo,Dar es Salaam,A,2270.61
134,2023-01-04,Kariakoo,Dar es Salaam,B,1903.57
135,2023-01-04,Kariakoo,Dar es Salaam,C,1622.86
136,2023-01-04,Mwenge,Dar es Salaam,A,2273.81
137,2023-01-04,Mwenge,Dar es Salaam,B,1893.11
138,2023-01-04,Mwenge,Dar es Salaam,C,1594.4
139,2023-01-04,Mwanza Central,Mwanza,A,2274.56
140,2023-01-04,Mwanza Central,Mwanza,B,1927.95
141,2023-01-04,Mwanza Central,Mwanza,C,1631.97
142,2023-01-04,Shinyanga Central,Shinyanga,A,2246.92
143,2023-01-04,Shinyanga Central,Shinyanga,B,1865.99
144,2023-01-04,Shinyanga Central,Shinyanga,C,1613.87
145,2023-01-05,Mbeya Central,Mbeya,A,1990.53
146,2023-01-05,Mbeya Central,Mbeya,B,1639.12
147,2023-01-05,Mbeya Central,Mbeya,C,1420.36
148,2023-01-05,Iringa Central,Iringa,A,1999.89
149,2023-01-05,Iringa Central,Iringa,B,1661.4
150,2023-01-05,Iringa Central,Iringa,C,1387.05
151,2023-01-05,Songea Central,Ruvuma,A,1956.17
152,2023-01-05,Songea Central,Ruvuma,B,1618.61
153,2023-01-05,Songea Central,Ruvuma,C,1388.19
154,2023-01-05,Sumbawanga Central,Rukwa,A,1978.03
155,2023-01-05,Sumbawanga Central,Rukwa,B,1673.08
156,2023-01-05,Sumbawanga Central,Rukwa,C,1378.54
157,2023-01-05,Morogoro Central,Morogoro,A,1973.22
158,2023-01-05,Morogoro Central,Morogoro,B,1658.56
159,2023-01-05,Morogoro Central,Morogoro,C,1385.36
160,2023-01-05,Dodoma Central,Dodoma,A,1995.55
161,2023-01-05,Dodoma Central,Dodoma,B,1649.63
162,2023-01-05,Dodoma Central,Dodoma,C,1388.14
163,2023-01-05,Arusha Central,Arusha,A,2291.21
164,2023-01-05,Arusha Central,Arusha,B,1859.97
165,2023-01-05,Arusha Central,Arusha,C,1629.07
166,2023-01-05,Moshi Central,Kilimanjaro,A,2301.6
167,2023-01-05,Moshi Central,Kilimanjaro,B,1867.64
168,2023-01-05,Moshi Central,Kilimanjaro,C,1608.05
169,2023-01-05,Kariakoo,Dar es Salaam,A,2247.48
170,2023-01-05,Kariakoo,Dar es Salaam,B,1932.26
171,2023-01-05,Kariakoo,Dar es Salaam,C,1614.03
172,2023-01-05,Mwenge,Dar es Salaam,A,2236.03
173,2023-01-05,Mwenge,Dar es Salaam,B,1878.46
174,2023-01-05,Mwenge,Dar es Salaam,C,1635.35
175,2023-01-05,Mwanza Central,Mwanza,A,2273.03
176,2023-01-05,Mwanza Central,Mwanza,B,1920.38
177,2023-01-05,Mwanza Central,Mwanza,C,1623.69
178,2023-01-05,Shinyanga Central,Shinyanga,A,2321.44
179,2023-01-05,Shinyanga Central,Shinyanga,B,1904.74
180,2023-01-05,Shinyanga Central,Shinyanga,C,1641.91
181,2023-01-06,Mbeya Central,Mbeya,A,2011.0
182,2023-01-06,Mbeya Central,Mbeya,B,1657.44
183,2023-01-06,Mbeya Central,Mbeya,C,1414.8
184,2023-01-06,Iringa Central,Iringa,A,1980.38
185,2023-01-06,Iringa Central,Iringa,B,1671.82
186,2023-01-06,Iringa Central,Iringa,C,1405.19
187,2023-01-06,Songea Central,Ruvuma,A,2011.46
188,2023-01-06,Songea Central,Ruvuma,B,1666.08
189,2023-01-06,Songea Central,Ruvuma,C,1401.08
190,2023-01-06,Sumbawanga Central,Rukwa,A,1960.93
191,2023-01-06,Sumbawanga Central,Rukwa,B,1633.32
192,2023-01-06,Sumbawanga Central,Rukwa,C,1410.22
193,2023-01-06,Morogoro Central,Morogoro,A,2001.05
194,2023-01-06,Morogoro Central,Morogoro,B,1651.41
195,2023-01-06,Morogoro Central,Morogoro,C,1409.61
196,2023-01-06,Dodoma Central,Dodoma,A,1962.15
197,2023-01-06,Dodoma Central,Dodoma,B,1622.11
198,2023-01-06,Dodoma Central,Dodoma,C,1390.48
199,2023-01-06,Arusha Central,Arusha,A,2256.21
200,2023-01-06,Arusha Central,Arusha,B,1883.82
201,2023-01-06,Arusha Central,Arusha,C,1615.47
202,2023-01-06,Moshi Central,Kilimanjaro,A,2244.06
203,2023-01-06,Moshi Central,Kilimanjaro,B,1877.1
204,2023-01-06,Moshi Central,Kilimanjaro,C,1625.39
205,2023-01-06,Kariakoo,Dar es Salaam,A,2295.8
206,2023-01-06,Kariakoo,Dar es Salaam,B,1864.42
207,2023-01-06,Kariakoo,Dar es Salaam,C,1606.91
208,2023-01-06,Mwenge,Dar es Salaam,A,2280.88
209,2023-01-06,Mwenge,Dar es Salaam,B,1891.11
210,2023-01-06,Mwenge,Dar es Salaam,C,1593.96
211,2023-01-06,Mwanza Central,Mwanza,A,2269.73
212,2023-01-06,Mwanza Central,Mwanza,B,1928.23
213,2023-01-06,Mwanza Central,Mwanza,C,1618.3
214,2023-01-06,Shinyanga Central,Shinyanga,A,2294.81
215,2023-01-06,Shinyanga Central,Shinyanga,B,1924.58
216,2023-01-06,Shinyanga Central,Shinyanga,C,1630.01
217,2023-01-07,Mbeya Central,Mbeya,A,2009.94
218,2023-01-07,Mbeya Central,Mbeya,B,1649.74
219,2023-01-07,Mbeya Central,Mbeya,C,1422.07
220,2023-01-07,Iringa Central,Iringa,A,2040.08
221,2023-01-07,Iringa Central,Iringa,B,1706.79
222,2023-01-07,Iringa Central,Iringa,C,1456.5
223,2023-01-07,Songea Central,Ruvuma,A,2013.06
224,2023-01-07,Songea Central,Ruvuma,B,1699.66
225,2023-01-07,Songea Central,Ruvuma,C,1433.19
226,2023-01-07,Sumbawanga Central,Rukwa,A,2027.94
227,2023-01-07,Sumbawanga Central,Rukwa,B,1664.19
228,2023-01-07,Sumbawanga Central,Rukwa,C,1414.49
229,2023-01-07,Morogoro Central,Morogoro,A,2014.42
230,2023-01-07,Morogoro Central,Morogoro,B,1651.29
231,2023-01-07,Morogoro Central,Morogoro,C,1421.17
232,2023-01-07,Dodoma Central,Dodoma,A,2034.07
233,2023-01-07,Dodoma Central,Dodoma,B,1676.56
234,2023-01-07,Dodoma Central,Dodoma,C,1411.38
235,2023-01-07,Arusha Central,Arusha,A,2319.51
236,2023-01-07,Arusha Central,Arusha,B,1906.62
237,2023-01-07,Arusha Central,Arusha,C,1653.18
238,2023-01-07,Moshi Central,Kilimanjaro,A,2278.59
239,2023-01-07,Moshi Central,Kilimanjaro,B,1927.25
240,2023-01-07,Moshi Central,Kilimanjaro,C,1649.37
241,2023-01-07,Kariakoo,Dar es Salaam,A,2278.61
242,2023-01-07,Kariakoo,Dar es Salaam,B,1946.5
243,2023-01-07,Kariakoo,Dar es Salaam,C,1621.16
244,2023-01-07,Mwenge,Dar es Salaam,A,2318.98
245,2023-01-07,Mwenge,Dar es Salaam,B,1900.63
246,2023-01-07,Mwenge,Dar es Salaam,C,1637.18
247,2023-01-07,Mwanza Central,Mwanza,A,2295.75
248,2023-01-07,Mwanza Central,Mwanza,B,1922.04
249,2023-01-07,Mwanza Central,Mwanza,C,1662.32
250,2023-01-07,Shinyanga Central,Shinyanga,A,2311.31
251,2023-01-07,Shinyanga Central,Shinyanga,B,1954.96
252,2023-01-07,Shinyanga Central,Shinyanga,C,1666.97
253,2023-01-08,Mbeya Central,Mbeya,A,1999.59
254,2023-01-08,Mbeya Central,Mbeya,B,1654.85
255,2023-01-08,Mbeya Central,Mbeya,C,1403.05
256,2023-01-08,Iringa Central,Iringa,A,2022.78
257,2023-01-08,Iringa Central,Iringa,B,1716.65
258,2023-01-08,Iringa Central,Iringa,C,1421.96
259,2023-01-08,Songea Central,Ruvuma,A,2031.73
260,2023-01-08,Songea Central,Ruvuma,B,1701.93
261,2023-01-08,Songea Central,Ruvuma,C,1439.23
262,2023-01-08,Sumbawanga Central,Rukwa,A,2040.14
263,2023-01-08,Sumbawanga Central,Rukwa,B,1713.27
264,2023-01-08,Sumbawanga Central,Rukwa,C,1413.35
265,2023-01-08,Morogoro Central,Morogoro,A,1980.85
266,2023-01-08,Morogoro Central,Morogoro,B,1659.6
267,2023-01-08,Morogoro Central,Morogoro,C,1409.16
268,2023-01-08,Dodoma Central,Dodoma,A,2033.29
269,2023-01-08,Dodoma Central,Dodoma,B,1687.31
270,2023-01-08,Dodoma Central,Dodoma,C,1414.41
271,2023-01-08,Arusha Central,Arusha,A,2341.07
272,2023-01-08,Arusha Central,Arusha,B,1956.11
273,2023-01-08,Arusha Central,Arusha,C,1623.27
274,2023-01-08,Moshi Central,Kilimanjaro,A,2332.5
275,2023-01-08,Moshi Central,Kilimanjaro,B,1954.64
276,2023-01-08,Moshi Central,Kilimanjaro,C,1619.77
277,2023-01-08,Kariakoo,Dar es Salaam,A,2352.2
278,2023-01-08,Kariakoo,Dar es Salaam,B,1971.43
279,2023-01-08,Kariakoo,Dar es Salaam,C,1619.34
280,2023-01-08,Mwenge,Dar es Salaam,A,2278.47
281,2023-01-08,Mwenge,Dar es Salaam,B,1920.89
282,2023-01-08,Mwenge,Dar es Salaam,C,1656.8
283,2023-01-08,Mwanza Central,Mwanza,A,2365.1
284,2023-01-08,Mwanza Central,Mwanza,B,1927.45
285,2023-01-08,Mwanza Central,Mwanza,C,1659.28
286,2023-01-08,Shinyanga Central,Shinyanga,A,2283.15
287,2023-01-08,Shinyanga Central,Shinyanga,B,1950.21
288,2023-01-08,Shinyanga Central,Shinyanga,C,1653.51
289,2023-01-09,Mbeya Central,Mbeya,A,1948.47
290,2023-01-09,Mbeya Central,Mbeya,B,1667.98
291,2023-01-09,Mbeya Central,Mbeya,C,1422.15
292,2023-01-09,Iringa Central,Iringa,A,1987.95
293,2023-01-09,Iringa Central,Iringa,B,1624.99
294,2023-01-09,Iringa Central,Iringa,C,1429.64
295,2023-01-09,Songea Central,Ruvuma,A,2002.38
296,2023-01-09,Songea Central,Ruvuma,B,1639.92
297,2023-01-09,Songea Central,Ruvuma,C,1398.48
298,2023-01-09,Sumbawanga Central,Rukwa,A,1969.75
299,2023-01-09,Sumbawanga Central,Rukwa,B,1650.39
300,2023-01-09,Sumbawanga Central,Rukwa,C,1393.59
301,2023-01-09,Morogoro Central,Morogoro,A,2007.69
302,2023-01-09,Morogoro Central,Morogoro,B,1671.27
303,2023-01-09,Morogoro Central,Morogoro,C,1380.37
304,2023-01-09,Dodoma Central,Dodoma,A,2016.49
305,2023-01-09,Dodoma Central,Dodoma,B,1658.95
306,2023-01-09,Dodoma Central,Dodoma,C,1420.94
307,2023-01-09,Arusha Central,Arusha,A,2295.88
308,2023-01-09,Arusha Central,Arusha,B,1892.6
309,2023-01-09,Arusha Central,Arusha,C,1627.96
310,2023-01-09,Moshi Central,Kilimanjaro,A,2319.4
311,2023-01-09,Moshi Central,Kilimanjaro,B,1880.05
312,2023-01-09,Moshi Central,Kilimanjaro,C,1632.76
313,2023-01-09,Kariakoo,Dar es Salaam,A,2280.48
314,2023-01-09,Kariakoo,Dar es Salaam,B,1896.25
315,2023-01-09,Kariakoo,Dar es Salaam,C,1608.72
316,2023-01-09,Mwenge,Dar es Salaam,A,2298.04
317,2023-01-09,Mwenge,Dar es Salaam,B,1879.92
318,2023-01-09,Mwenge,Dar es Salaam,C,1635.57
319,2023-01-09,Mwanza Central,Mwanza,A,2307.12
320,2023-01-09,Mwanza Central,Mwanza,B,1866.13
321,2023-01-09,Mwanza Central,Mwanza,C,1637.5
322,2023-01-09,Shinyanga Central,Shinyanga,A,2253.67
323,2023-01-09,Shinyanga Central,Shinyanga,B,1894.82
324,2023-01-09,Shinyanga Central,Shinyanga,C,1619.99
325,2023-01-10,Mbeya Central,Mbeya,A,1970.42
326,2023-01-10,Mbeya Central,Mbeya,B,1618.89
327,2023-01-10,Mbeya Central,Mbeya,C,1422.19
328,2023-01-10,Iringa Central,Iringa,A,1954.8
329,2023-01-10,Iringa Central,Iringa,B,1631.0
330,2023-01-10,Iringa Central,Iringa,C,1419.21
331,2023-01-10,Songea Central,Ruvuma,A,1967.35
332,2023-01-10,Songea Central,Ruvuma,B,1675.1
333,2023-01-10,Songea Central,Ruvuma,C,1413.79
334,2023-01-10,Sumbawanga Central,Rukwa,A,1962.28
335,2023-01-10,Sumbawanga Central,Rukwa,B,1617.67
336,2023-01-10,Sumbawanga Central,Rukwa,C,1427.64
337,2023-01-10,Morogoro Central,Morogoro,A,1947.18
338,2023-01-10,Morogoro Central,Morogoro,B,1664.52
339,2023-01-10,Morogoro Central,Morogoro,C,1401.86
340,2023-01-10,Dodoma Central,Dodoma,A,2000.45
341,2023-01-10,Dodoma Central,Dodoma,B,1662.58
342,2023-01-10,Dodoma Central,Dodoma,C,1410.69
343,2023-01-10,Arusha Central,Arusha,A,2276.16
344,2023-01-10,Arusha Central,Arusha,B,1919.73
345,2023-01-10,Arusha Central,Arusha,C,1586.62
346,2023-01-10,Moshi Central,Kilimanjaro,A,2251.64
347,2023-01-10,Moshi Central,Kilimanjaro,B,1912.06
348,2023-01-10,Moshi Central,Kilimanjaro,C,1600.37
349,2023-01-10,Kariakoo,Dar es Salaam,A,2284.43
350,2023-01-10,Kariakoo,Dar es Salaam,B,1895.47
351,2023-01-10,Kariakoo,Dar es Salaam,C,1614.87
352,2023-01-10,Mwenge,Dar es Salaam,A,2270.21
353,2023-01-10,Mwenge,Dar es Salaam,B,1916.17
354,2023-01-10,Mwenge,Dar es Salaam,C,1601.96
355,2023-01-10,Mwanza Central,Mwanza,A,2295.48
356,2023-01-10,Mwanza Central,Mwanza,B,1880.11
357,2023-01-10,Mwanza Central,Mwanza,C,1596.84
358,2023-01-10,Shinyanga Central,Shinyanga,A,2242.45
359,2023-01-10,Shinyanga Central,Shinyanga,B,1874.17
360,2023-01-10,Shinyanga Central,Shinyanga,C,1588.33
361,2023-01-11,Mbeya Central,Mbeya,A,1982.84
362,2023-01-11,Mbeya Central,Mbeya,B,1667.3
363,2023-01-11,Mbeya Central,Mbeya,C,1384.84
364,2023-01-11,Iringa Central,Iringa,A,1957.54
365,2023-01-11,Iringa Central,Iringa,B,1648.96
366,2023-01-11,Iringa Central,Iringa,C,1415.1
367,2023-01-11,Songea Central,Ruvuma,A,2017.75
368,2023-01-11,Songea Central,Ruvuma,B,1651.63
369,2023-01-11,Songea Central,Ruvuma,C,1390.33
370,2023-01-11,Sumbawanga Central,Rukwa,A,1948.36
371,2023-01-11,Sumbawanga Central,Rukwa,B,1629.81
372,2023-01-11,Sumbawanga Central,Rukwa,C,1387.21
373,2023-01-11,Morogoro Central,Morogoro,A,1954.61
374,2023-01-11,Morogoro Central,Morogoro,B,1617.93
375,2023-01-11,Morogoro Central,Morogoro,C,1404.41
376,2023-01-11,Dodoma Central,Dodoma,A,1962.13
377,2023-01-11,Dodoma Central,Dodoma,B,1681.3
378,2023-01-11,Dodoma Central,Dodoma,C,1405.49
379,2023-01-11,Arusha Central,Arusha,A,2294.98
380,2023-01-11,Arusha Central,Arusha,B,1869.13
381,2023-01-11,Arusha Central,Arusha,C,1636.65
382,2023-01-11,Moshi Central,Kilimanjaro,A,2276.17
383,2023-01-11,Moshi Central,Kilimanjaro,B,1925.79
384,2023-01-11,Moshi Central,Kilimanjaro,C,1617.65
385,2023-01-11,Kariakoo,Dar es Salaam,A,2274.21
386,2023-01-11,Kariakoo,Dar es Salaam,B,1892.98
387,2023-01-11,Kariakoo,Dar es Salaam,C,1592.51
388,2023-01-11,Mwenge,Dar es Salaam,A,2236.14
389,2023-01-11,Mwenge,Dar es Salaam,B,1930.98
390,2023-01-11,Mwenge,Dar es Salaam,C,1611.44
391,2023-01-11,Mwanza Central,Mwanza,A,2306.34
392,2023-01-11,Mwanza Central,Mwanza,B,1889.96
393,2023-01-11,Mwanza Central,Mwanza,C,1585.4
394,2023-01-11,Shinyanga Central,Shinyanga,A,2288.79
395,2023-01-11,Shinyanga Central,Shinyanga,B,1863.62
396,2023-01-11,Shinyanga Central,Shinyanga,C,1590.24
397,2023-01-12,Mbeya Central,Mbeya,A,1984.98
398,2023-01-12,Mbeya Central,Mbeya,B,1637.05
399,2023-01-12,Mbeya Central,Mbeya,C,1430.21
400,2023-01-12,Iringa Central,Iringa,A,1949.78
401,2023-01-12,Iringa Central,Iringa,B,1667.45
402,2023-01-12,Iringa Central,Iringa,C,1408.46
403,2023-01-12,Songea Central,Ruvuma,A,2003.03
404,2023-01-12,Songea Central,Ruvuma,B,1631.9
405,2023-01-12,Songea Central,Ruvuma,C,1403.77
406,2023-01-12,Sumbawanga Central,Rukwa,A,1976.08
407,2023-01-12,Sumbawanga Central,Rukwa,B,1646.22
408,2023-01-12,Sumbawanga Central,Rukwa,C,1422.71
409,2023-01-12,Morogoro Central,Morogoro,A,2018.81
410,2023-01-12,Morogoro Central,Morogoro,B,1637.16
411,2023-01-12,Morogoro Central,Morogoro,C,1409.29
412,2023-01-12,Dodoma Central,Dodoma,A,1988.68
413,2023-01-12,Dodoma Central,Dodoma,B,1665.85
414,2023-01-12,Dodoma Central,Dodoma,C,1427.61
415,2023-01-12,Arusha Central,Arusha,A,2250.39
416,2023-01-12,Arusha Central,Arusha,B,1875.57
417,2023-01-12,Arusha Central,Arusha,C,1623.23
418,2023-01-12,Moshi Central,Kilimanjaro,A,2245.76
419,2023-01-12,Moshi Central,Kilimanjaro,B,1872.74
420,2023-01-12,Moshi Central,Kilimanjaro,C,1585.46
421,2023-01-12,Kariakoo,Dar es Salaam,A,2231.7
422,2023-01-12,Kariakoo,Dar es Salaam,B,1893.74
423,2023-01-12,Kariakoo,Dar es Salaam,C,1618.93
424,2023-01-12,Mwenge,Dar es Salaam,A,2257.99
425,2023-01-12,Mwenge,Dar es Salaam,B,1877.12
426,2023-01-12,Mwenge,Dar es Salaam,C,1626.23
427,2023-01-12,Mwanza Central,Mwanza,A,2295.49
428,2023-01-12,Mwanza Central,Mwanza,B,1894.01
429,2023-01-12,Mwanza Central,Mwanza,C,1624.96
430,2023-01-12,Shinyanga Central,Shinyanga,A,2315.61
431,2023-01-12,Shinyanga Central,Shinyanga,B,1919.35
432,2023-01-12,Shinyanga Central,Shinyanga,C,1620.94
433,2023-01-13,Mbeya Central,Mbeya,A,1992.77
434,2023-01-13,Mbeya Central,Mbeya,B,1678.62
435,2023-01-13,Mbeya Central,Mbeya,C,1398.3
436,2023-01-13,Iringa Central,Iringa,A,1983.53
437,2023-01-13,Iringa Central,Iringa,B,1659.74
438,2023-01-13,Iringa Central,Iringa,C,1425.41
439,2023-01-13,Songea Central,Ruvuma,A,2005.87
440,2023-01-13,Songea Central,Ruvuma,B,1621.71
441,2023-01-13,Songea Central,Ruvuma,C,1383.76
442,2023-01-13,Sumbawanga Central,Rukwa,A,1964.76
443,2023-01-13,Sumbawanga Central,Rukwa,B,1666.43
444,2023-01-13,Sumbawanga Central,Rukwa,C,1406.38
445,2023-01-13,Morogoro Central,Morogoro,A,1963.26
446,2023-01-13,Morogoro Central,Morogoro,B,1625.21
447,2023-01-13,Morogoro Central,Morogoro,C,1413.08
448,2023-01-13,Dodoma Central,Dodoma,A,1995.82
449,2023-01-13,Dodoma Central,Dodoma,B,1679.22
450,2023-01-13,Dodoma Central,Dodoma,C,1402.53
451,2023-01-13,Arusha Central,Arusha,A,2276.43
452,2023-01-13,Arusha Central,Arusha,B,1865.66
453,2023-01-13,Arusha Central,Arusha,C,1583.19
454,2023-01-13,Moshi Central,Kilimanjaro,A,2270.81
455,2023-01-13,Moshi Central,Kilimanjaro,B,1884.01
456,2023-01-13,Moshi Central,Kilimanjaro,C,1596.77
457,2023-01-13,Kariakoo,Dar es Salaam,A,2239.78
458,2023-01-13,Kariakoo,Dar es Salaam,B,1932.56
459,2023-01-13,Kariakoo,Dar es Salaam,C,1634.55
460,2023-01-13,Mwenge,Dar es Salaam,A,2283.85
